job_id,titles,teasers,companies,locations,categorys,subCategories,job_types,salaries,dateposted,datedisplay,url
75308328,Data Analyst - ShopeePay,-,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Information & Communication Technology,Business/Systems Analysts,Full time,,2024-04-22T02:05:55Z,4d ago,https://www.jobstreet.com.sg/job/75308328
75318241,Data Scientist,"As a Data Scientist, you will be at the forefront of our data analytics efforts, working closely with cross-functional teams to develop and deploy ...",CPO PTE. LTD.,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-22T02:09:00Z,4d ago,https://www.jobstreet.com.sg/job/75318241
75226861,Data Scientist and Analytics Specialist,"Responsible for enabling decision making by exploring the data, recommending actionable insights, and building visualizations, dashboards.
Packages...",Philips Domestic Appliances Singapore Pte. Ltd.,Central Region,Sales,New Business Development,Full time,,2024-04-18T02:39:00Z,8d ago,https://www.jobstreet.com.sg/job/75226861
75328324,"HR Dashboard & Analytics Executive (6 months) | Up $3,500","Executive (HR Dashboard and Analytics)	
Chinatown
6 months (w option to extend)",PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),Central Region,Human Resources & Recruitment,Consulting & Generalist HR,Contract/Temp,"$3,000 – $3,500 per month",2024-04-22T13:43:35Z,3d ago,https://www.jobstreet.com.sg/job/75328324
75191422,Internship - Data Analytics (BE Industrial Engineering),"Does this sound like just the right challenge for you? If so, we look forward to getting to know you!",Infineon Technologies,Central Region,Information & Communication Technology,Business/Systems Analysts,Contract/Temp,,2024-04-17T05:52:55Z,9d ago,https://www.jobstreet.com.sg/job/75191422
75341640,Data Architect Analyst (6 months internship),-,"Mizuho Bank, Ltd",Central Region,Information & Communication Technology,Database Development & Administration,Full time,,2024-04-23T03:10:47Z,3d ago,https://www.jobstreet.com.sg/job/75341640
75191095,"Internship - ATV Supply Chain Planner, Data Analytics","Does this sound like just the right challenge for you? If so, we look forward to getting to know you!",Infineon Technologies,Central Region,Information & Communication Technology,Database Development & Administration,Contract/Temp,,2024-04-17T05:40:47Z,9d ago,https://www.jobstreet.com.sg/job/75191095
75206179,Data Analyst,"Responsible for delivering, standardizing and automating data analytic reports, notifications and dashboards.
Job Requirements:
Degree in Computer ...",D L Resources Pte Ltd,Central Region,Information & Communication Technology,Business/Systems Analysts,Contract/Temp,,2024-04-17T13:40:00Z,8d ago,https://www.jobstreet.com.sg/job/75206179
75401597,"Data Analyst - 1 year contract/ Up to $4,500","data analyst, strong in statics, Power BI, Microsoft 365",Forte Employment Services Pte Ltd,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp,"$3,500 – $4,500 per month",2024-04-25T04:42:52Z,1d ago,https://www.jobstreet.com.sg/job/75401597
75203101,Data Analyst,"Job Roles:Regular data mining, transformation, visualization, analytics and reporting worksCoordinate with various internal and external technology...",D L Resources Pte Ltd,Singapore,Information & Communication Technology,Business/Systems Analysts,Contract/Temp,,2024-04-17T10:13:54Z,9d ago,https://www.jobstreet.com.sg/job/75203101
75368930,"AVP, Data Analyst, Business Performance, Consumer Banking Group",Refer a friend Submit a candidate's profile,DBS Bank Limited,Central Region,Accounting,Analysis & Reporting,Full time,,2024-04-23T05:01:00Z,3d ago,https://www.jobstreet.com.sg/job/75368930
75182689,Administrator (Data Analytics),Data Analysis and prepare reports  Manage calendar for VP and the team Schedule and prepare claims submission,IHH Healthcare,Central Region,Administration & Office Support,Administrative Assistants,Full time,,2024-04-17T01:35:50Z,9d ago,https://www.jobstreet.com.sg/job/75182689
75419359,College Intern - Partner Account Operation Data Analyst,"Develop a 1 stop portal & quick guide for Partner account operations manager and partners on most used sales ops processes and tools.
Analyze partn...",Hewlett Packard Enterprise,West Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-25T21:39:00Z,14h ago,https://www.jobstreet.com.sg/job/75419359
75238768,Senior Data Analyst,We are seeking an experienced Senior Data Analyst to join our dynamic Data Analytics & Insights team. The ideal candidate will have a solid foundat...,Net6tem,Central Region,Information & Communication Technology,Business/Systems Analysts,Contract/Temp,,2024-04-18T14:52:00Z,7d ago,https://www.jobstreet.com.sg/job/75238768
75150563,"Senior Executive / Assistant Manager, Data Analytics & Insights(5861)",-,NUHS Group Ops & IT,Central Region,Hospitality & Tourism,Management,Full time,,2024-04-16T02:11:03Z,10d ago,https://www.jobstreet.com.sg/job/75150563
75320644,Data Science Engineer - (Python),To develop models and work with various in-house stakeholders in the manufacturing industry.,GMP Group HQ,West Region,Information & Communication Technology,Management,Full time,"$4,000 – $4,800 per month",2024-04-22T07:32:53Z,4d ago,https://www.jobstreet.com.sg/job/75320644
75148974,Administrator (Data Analytics),The Role Key accountabilities Data Analysis and prepare reports  Project Management Manage calendar for VP and the team Schedule and coordin,IHH Healthcare,Central Region,Administration & Office Support,Administrative Assistants,Full time,,2024-04-16T01:21:03Z,10d ago,https://www.jobstreet.com.sg/job/75148974
75252728,Data Analyst - SeaMoney Credit,-,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Banking & Financial Services,Analysis & Reporting,Full time,,2024-04-19T02:52:06Z,7d ago,https://www.jobstreet.com.sg/job/75252728
