job_id,titles,teasers,companies,locations,categorys,subCategories,job_types,salaries,dateposted,datedisplay,url
75148974,Administrator (Data Analytics),The Role Key accountabilities Data Analysis and prepare reports  Project Management Manage calendar for VP and the team Schedule and coordin,IHH Healthcare,Central Region,Administration & Office Support,Administrative Assistants,Full time,,2024-04-16 01:21:03,8d ago,https://www.jobstreet.com.sg/job/75148974
75252728,Data Analyst - SeaMoney Credit,-,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Banking & Financial Services,Analysis & Reporting,Full time,,2024-04-19 02:52:06,5d ago,https://www.jobstreet.com.sg/job/75252728
75371604,Data Science Analyst / Senior Data Science Analyst,Data Science Analyst / Senior Data Science Analyst,PSA Corporation Limited,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-24 03:20:18,9h ago,https://www.jobstreet.com.sg/job/75371604
75243684,"Data Analyst, Planning & Budgeting - SG Warehouse",The Business Intelligence and Data Analytics team plays a critical role in conducting close-loop data-driven business iterations. As business...,SHOPEE SINGAPORE PRIVATE LIMITED,Singapore,"Manufacturing, Transport & Logistics",Analysis & Reporting,Full time,,2024-04-19 00:54:48,5d ago,https://www.jobstreet.com.sg/job/75243684
75276585,Data Analyst (Data Models| SQL | Cloud Data) - West,"Collaborate with the cross functional teams to comprehend department, individual data requirements, use-case specific.",Talent Trader Group Pte Ltd,Central Region,Information & Communication Technology,Database Development & Administration,Full time,,2024-04-19 08:14:14,5d ago,https://www.jobstreet.com.sg/job/75276585
75242491,Regional Operations Data Analyst,--,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-19 00:23:25,5d ago,https://www.jobstreet.com.sg/job/75242491
75217932,Senior Data Analyst - Marketplace Product,--,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-18 02:23:51,6d ago,https://www.jobstreet.com.sg/job/75217932
75137646,"Manager, SIT Teaching and Learning Academy (Data Analytics)",We are looking for an educational data analyst to join our team (SIT Teaching & Learning Academy) and help us leverage data to enhance teaching and...,Singapore Institute of Technology,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp,,2024-04-15 05:37:00,9d ago,https://www.jobstreet.com.sg/job/75137646
75318588,Business Development (Data Analyst) Intern - Revenue Marketing Solutions,-,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Sales,New Business Development,Full time,,2024-04-22 06:34:24,2d ago,https://www.jobstreet.com.sg/job/75318588
75367686,"Executive, Data & Products","You will be part of a dynamic team to drive growth in designing, managing and developing a Regional Data Warehouse Platform with various local and ...",beIN Sports Asia Pte Limited,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-04-23 13:46:00,23h ago,https://www.jobstreet.com.sg/job/75367686
75287673,Data analyst application,Our client is the leading American laboratory instrument in Manufacturing Industry. They are actively looking to hire a FPNA Data Analyst & Applica...,RGF,Central Region,Accounting,Cost Accounting,Full time,,2024-04-19 16:53:00,4d ago,https://www.jobstreet.com.sg/job/75287673
75321849,Business Development (Data Analyst) Intern - Seller Revenue Marketing Solution,-,SHOPEE SINGAPORE PRIVATE LIMITED,Central Region,Sales,New Business Development,Full time,,2024-04-22 08:20:42,2d ago,https://www.jobstreet.com.sg/job/75321849
75368257,Data Analyst Intern,"If you love working with technology to create solutions and are not afraid to roll up your sleeves to get things done, you will find your tribe her...",FOODPANDA SINGAPORE PTE. LTD.,Central Region,Accounting,Analysis & Reporting,Full time,,2024-04-23 12:16:00,1d ago,https://www.jobstreet.com.sg/job/75368257
75139657,Digital Solution Sales Representative (Data Analytics),The overarching responsibility for the Solution Representative is to deliver project excellence end to end for the account and grow revenue and inc...,IBM SERVICES TALENT DELIVERY PTE. LTD.,Central Region,Sales,Account & Relationship Management,Full time,,2024-04-15 08:26:00,9d ago,https://www.jobstreet.com.sg/job/75139657
75250769,Regional Data Analyst - APAC,12 Months Contract with MNC Tech Company,Peoplebank Singapore Pte Ltd,Central Region,Information & Communication Technology,Other,Contract/Temp,$9k - $10k per month,2024-04-19 02:20:23,5d ago,https://www.jobstreet.com.sg/job/75250769
